,query,match,distance,query_video,match_video,original_basename_q,original_basename_m,label
0,306,306,0.0,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,True
1,306,702,0.5143503848863218,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,puME6wQyP98-f9659f8e6dcac0a1a45e7ea1741f28b8,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,puME6wQyP98-f9659f8e6dcac0a1a45e7ea1741f28b8,False
2,306,1559,0.614747505652763,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,z64QnDwVFkQ-006cd411fd32304de9ddb6704175ade2,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,z64QnDwVFkQ-006cd411fd32304de9ddb6704175ade2,False
3,306,629,0.6351424213446722,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,iOM3VDfgvMs-7387723c778db59e2cb76a2c5c8f38dc,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,iOM3VDfgvMs-7387723c778db59e2cb76a2c5c8f38dc,False
4,306,878,0.6390688845295802,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,BtoOYZD9fKM-c7685c16e20c5db26e41c5db90d33d01,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,BtoOYZD9fKM-c7685c16e20c5db26e41c5db90d33d01,False
5,306,2234,0.6394664573861906,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,TTXjF-L7Sa4-d793bf8e424cef36b3cd20429babe1b0,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,TTXjF-L7Sa4-d793bf8e424cef36b3cd20429babe1b0,False
6,306,1444,0.6415750128028326,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,H86_Az6YiEA-251a367f958b1fba993e76066ef806af,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,H86_Az6YiEA-251a367f958b1fba993e76066ef806af,False
7,306,372,0.648740576855498,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,kygLM6mJu70-557fa2780af95ea53e83677f57b00cd2,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,kygLM6mJu70-557fa2780af95ea53e83677f57b00cd2,False
8,306,633,0.6488337558121405,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,fd8c70b1433a477cbe012ad93469faaf,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,iOM3VDfgvMs-7387723c778db59e2cb76a2c5c8f38dc,False
9,306,1411,0.651179681701714,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,nHmJDnp2P_k-d5c986026db72c8fbc86944a94fc7b09,j5pYPAZuy9M-3399c3e1648d74a9f86c9fd7ddcb025f,nHmJDnp2P_k-d5c986026db72c8fbc86944a94fc7b09,False
