,query,match,distance,query_video,match_video,original_basename_q,original_basename_m,label
0,186,186,0.0,4eb9ad34f1bd411485c373fb8cacb247,4eb9ad34f1bd411485c373fb8cacb247,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,True
1,186,1997,0.4824562845895365,4eb9ad34f1bd411485c373fb8cacb247,49d8315daf0a40b4a4337b0a975c5385,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,gf6OrSCp7zs-ba669e5435157528940e9793937b46fd,False
2,186,1567,0.48587880786717663,4eb9ad34f1bd411485c373fb8cacb247,17f60675f799466d85fad43d6a9ec475,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,lnZNiivm2zU-e1caaa59e5479f037914e52e0893cc6e,False
3,186,2262,0.48682068178425814,4eb9ad34f1bd411485c373fb8cacb247,899781d1ec5c4bbc94e51918a7ecac62,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,bpfli0ZF7do-606d605202d4ad7b0dadea8cfa790da3,False
4,186,1380,0.49842156466634535,4eb9ad34f1bd411485c373fb8cacb247,a18444977736411fab577643ad40e1c9,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,6yJuyFN4Ihg-90dfe7b732a24ef61fd52c5eae95162e,False
5,186,553,0.5126679384945264,4eb9ad34f1bd411485c373fb8cacb247,10f76d1b56d547998a9abb13ff96e0f0,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,RO3B6_yL1gk-1eadec850c689b91737eddffba3d177a,False
6,186,1738,0.5264368976441509,4eb9ad34f1bd411485c373fb8cacb247,c6391a5642cc45d7a7db6ea6076aab80,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,82KKCxXUAW8-bb274a3c804764d45d8daa89f170949e,False
7,186,1039,0.5374768227712929,4eb9ad34f1bd411485c373fb8cacb247,bbfc869adf4a48ca84f77a791f6c1c2d,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,J1TjxYW5KGk-ca58667fe322a513f52d803c5ec4aad9,False
8,186,902,0.5514952534524289,4eb9ad34f1bd411485c373fb8cacb247,66af3c5254ac4ac1984c05fa16ddc4af,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,xAIq2HtX_lk-7ddb270bece191e9e4dcab56fa46391e,False
9,186,432,0.556377377179111,4eb9ad34f1bd411485c373fb8cacb247,5257b28e753840a389a9cb17be7cd54b,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,AA82DdkVh5s-db5b2e3d870f1005da5e88c3e6b256f4,False
10,186,339,0.557466701246744,4eb9ad34f1bd411485c373fb8cacb247,19fa48bf09544f80a7953a3f5240f704,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,gHOKz_4h5S8-2cf2156b48ec3a6ccc26c2e6cbaa885a,False
11,186,38,0.5644610356676646,4eb9ad34f1bd411485c373fb8cacb247,5205af57498541138578c8eb32206abd,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,1PgMbsvyIxY-6cf64a7f3efd734a6aa52004b06bd7c8,False
12,186,2203,0.568484708765203,4eb9ad34f1bd411485c373fb8cacb247,7c32793061e54a7aa4450418768bff05,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,58xPhmS_U3g-c1271043195cdf163bfbf8dedb222a26,False
13,186,2069,0.5697929422161008,4eb9ad34f1bd411485c373fb8cacb247,662408c6ee294a2da965094852e67a8f,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,E9F02r50t1U-4e0e56e89f7a841355f0138eb40acf75,False
14,186,1652,0.5729169495346336,4eb9ad34f1bd411485c373fb8cacb247,5194fec5502249a7bb164be45a2b5b64,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,xAIq2HtX_lk-7ddb270bece191e9e4dcab56fa46391e,False
15,186,1306,0.5813216959633054,4eb9ad34f1bd411485c373fb8cacb247,6573f7c3bb7f455a96b13de6544e15bf,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,JoxsB8x2mSc-f72ea72ee9bf3e8787d9a6498f8ef180,False
16,186,1111,0.5855355202560797,4eb9ad34f1bd411485c373fb8cacb247,81ef480487d9463491582580731814cc,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,93hsYr5mg5k-112e46a5f90427b50cb831663254083d,False
17,186,228,0.5857889234620663,4eb9ad34f1bd411485c373fb8cacb247,b2f9a688178549929239f79b83610639,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,ccbU4fEKjOQ-ed4dc2bde2e2d8f582b8b8b5ff74631b,False
18,186,123,0.5899337956904682,4eb9ad34f1bd411485c373fb8cacb247,6bb05f5ac21b44de9566c1bec4e9230e,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,ClFMA0hTAj0-1c133ff9b289133f80d8ff46380e3976,False
19,186,1873,0.6033215094953297,4eb9ad34f1bd411485c373fb8cacb247,8a15bc48beac4649b9cb008f70962044,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,IBOBWAB7XVw-82c59387d2986b00ac2f4327e8a9f288,False
20,186,2300,0.6063580677113215,4eb9ad34f1bd411485c373fb8cacb247,7fa5ede584714a619491c733f8005e2d,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,1Nmebjpwkks-249ed7e85cfe9a94c540116a32881b74,False
21,186,322,0.6094355062551848,4eb9ad34f1bd411485c373fb8cacb247,8f3baa357dde4442adb69abe786ded34,wjL71_eSd4Q-59a7499a24e804deb63410f6ee7b37bb,uBpM9JOItVs-59013a0702ada77d8f84c5e4cb68badb,False
